barcode,title,genre,releaseDate,quantity,cost
2,Annihilation,Thriller,01/13/13,11,7.99
9,Deadpool,Comedy,01/14/35,28,10.87
4,Boyhood,Action,01/131/13,21,8.99
16,Cinderella,Adventure,14/01/97,13,7.99
20,The Shape of Water,Drama,01/13/13,18,12.99
11,Lord of the Rings,Sci-fi,05/22/09,24,8.24
14,Interstellar,Sci-fi,14/22/09,9,8.1
13,Arrival,Sci-fi,14/31/01,5,5.99
7,Home Alone,Adventure,09/24/94,12,10.99
8,Toy Story,Adventure,01/13/13,19,8.24
12,Moonlight,Drama,10/10/10,25,6.04
16,Blade Runner,Adventure,01/14/99,17,10.99
3,Dune,Sci-fi,01/13/13,12,2.99
5,Simpsons,Adventure,01/13/13,12,2.34
10,Harry Potter,Adventure,04/31/03,11,9.99
1,Pokemon 2000,Adventure,01/10/13,12,10.99
9,Lion Kind,Adventure,07/11/98,17,5.92
12,Dunkirk,Action,19/13/19,26,4.99
18,Final Fantasy,Mystery,14/12/88,20,20.99
6,Parasite,Drama,01/13/99,13,23.99
